<Saved_Search_Name>,<Search_Type>,<Schedule>,<Index_Source>,<Eval>,<Lookup_Table>,<Indicator_Type_Name>,<Field_Matches>,<Earliest_Latest>,<Group_By>
CRITS_SMTP_Domain,LookupTableSearch,47,index=email_*,,detect_uridomainname,URI - Domain Name,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_SMTP_hashsha256,LookupTableSearch,48,index=email_*,,detect_hashsha256,Hash - Sha256,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_SMTP_IP,LookupTableSearch,49,index=email_*,,detect_addressipv4addr,Address - ipv4-addr,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_SMTP_OriginatingIP,LookupTableSearch,50,index=email_*,,detect_emailxoriginatingip,Email X-Originating IP,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_SMTP_Subject,LookupTableSearch,51,index=email_*,,detect_emailsubject,Email - Subject,subject,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_SMTP_URI_URL,LookupTableSearch,52,index=bro sourcetype=bro_smtp,"eval extracted_fromaddr=replace(from, "".*<|>"", """") | eval extracted_toaddr=replace(rcptto, "".*<|>"", """")",detect_uriurl,URI - URL,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_SMTP_URI_URLPath,LookupTableSearch,53,index=bro sourcetype=bro_smtp,"eval extracted_fromaddr=replace(from, "".*<|>"", """") | eval extracted_toaddr=replace(rcptto, "".*<|>"", """")",detect_uripath,URI - Path,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_SMTP_xmailer,LookupTableSearch,54,index=email_*,,detect_emailxmailer,Email - Xmailer,user_agent,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_WINLOGS_Account,LookupTableSearch,55,index=winlogs OR index=win_logs,,detect_account,Account,Account_Name,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_WINLOGS_FileName,LookupTableSearch,56,index=winlogs OR index=win_logs,,detect_windowsfilename,Windows - FileName,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_WINLOGS_FilePath,LookupTableSearch,57,index=winlogs OR index=win_logs,,detect_windowsfilepath,Windows - FilePath,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_WINLOGS_Service,LookupTableSearch,58,index=winlogs OR index=win_logs,,detect_windowsservice,Windows - Service,Service_Name<!FIELD!>Service_File_Name,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_ICS_IP,LookupTableSearch,59,index=ics_logs,,detect_addressipv4addr,Address - ipv4-addr,dest_ip,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_MSCloud_IP,LookupTableSearch,60,index=microsoft_cloud,,detect_addressipv4addr,Address - ipv4-addr,,_index_earliest=-72m _index_latest=-10m,ObjectID
CRITS_MSCloud_EmailAddress,LookupTableSearch,1,index=microsoft_cloud,,detect_emailaddress,Email - Address,,_index_earliest=-72m _index_latest=-10m,ObjectID
